Caryophyllales_Amaranthaceae_Beta_vulgaris	Amaranthaceae_Beta_vulgaris
Caryophyllales_Polygonaceae_Pterostegia_drymarioides	DG007
Cornales_Nyssaceae_Camptotheca_acuminata	GACF01
Cornales_Nyssaceae_Nyssa_sinensis	Nyssa_sinensis
Cornales_Nyssaceae_Davidia_involucrata	GHER01
Ericales_Actinidiaceae_Actinidia_chinensis	GALZ01
Ericales_Actinidiaceae_Actinidia_deliciosa	GEYI01
Ericales_Actinidiaceae_Actinidia_eriantha	Actinidiaceae_Actinidia_eriantha
Ericales_Actinidiaceae_Actinidia_rufa	Actinidiaceae_Actinidia_rufa
Ericales_Actinidiaceae_Saurauia_tristyla	LP208143B
Ericales_Balsaminaceae_Hydrocera_triflora	PL008455B
Ericales_Balsaminaceae_Impatiens_balsamina	GJBI01
Ericales_Balsaminaceae_Impatiens_bicornuta	GJBN01
Ericales_Balsaminaceae_Impatiens_devendrae	GJBO01
Ericales_Balsaminaceae_Impatiens_falcifer	GJBP01
Ericales_Balsaminaceae_Impatiens_hawkeri	GJBQ01
Ericales_Balsaminaceae_Impatiens_racemosa	GJBR01
Ericales_Balsaminaceae_Impatiens_scabrida	GJBY01
Ericales_Balsaminaceae_Impatiens_scullyi	GJBZ01
Ericales_Clethraceae_Clethra_accuminata	SAS56
Ericales_Clethraceae_Clethra_arborea	Clethraceae_Clethra_arborea
Ericales_Diapensiaceae_Diapensia_bulleyana	PL008549A
Ericales_Diapensiaceae_Shortia_sinensis	PL008847A
Ericales_Ebenaceae_Diospyros_kaki	GFUF01
Ericales_Ebenaceae_Diospyros_lotus	GBSJ0112
Ericales_Ebenaceae_Diospyros_virginiana	SAS57
Ericales_Ericaceae_Agapetes_forrestii	LP207996
Ericales_Ericaceae_Andromeda_polifolia	LP2082861A
Ericales_Ericaceae_Arbutus_unedo	LP207993
Ericales_Ericaceae_Arctostaphylos_viscida	DAL200
Ericales_Ericaceae_Calluna_vulgaris	GBSW01
Ericales_Ericaceae_Calluna_vulgaris	LP208360B
Ericales_Ericaceae_Cassiope_fastigiata	LP207994
Ericales_Ericaceae_Chamaedaphne_calyculata	LP2083271A
Ericales_Ericaceae_Chimaphila_japonica	ZSTU04567A
Ericales_Ericaceae_Craibiodendron_yunnanense	LP208353A
Ericales_Ericaceae_Empetrum_nigrum_var_nigrum	LP2080911A
Ericales_Ericaceae_Gaultheria_nummularioides	LP207995
Ericales_Ericaceae_Leucothoe_davisiae	DAL224
Ericales_Ericaceae_Leucothoe_tonkinensis	PL008850A
Ericales_Ericaceae_Lyonia_ovalifolia	LP208352A
Ericales_Ericaceae_Moneses_uniflora	LP2082881A
Ericales_Ericaceae_Monotropa_hypopitys	GFWM01
Ericales_Ericaceae_Monotropa_hypopitys	LP2083482B
Ericales_Ericaceae_Monotropastrum_sciaphilum	LP2083491A
Ericales_Ericaceae_Orthilia_secunda	LP2083261A
Ericales_Ericaceae_Oxydendrum_arboreum	DG006
Ericales_Ericaceae_Phyllodoce_caerulea	LP2083301A
Ericales_Ericaceae_Pieris_japonica	LP207941
Ericales_Ericaceae_Pyrola_decorata	LP208023
Ericales_Ericaceae_Pyrola_picta	DAL195
Ericales_Ericaceae_Rhododendron_delavayi	GFCU01
Ericales_Ericaceae_Rhododendron_molle	GIKT01
Ericales_Ericaceae_Rhododendron_simsii	Rhododendron_simsii
Ericales_Ericaceae_Vaccinium_coccineum	DAL212
Ericales_Ericaceae_Vaccinium_macrocarpon	GBFL01
Ericales_Ericaceae_Vaccinium_virgatum	GGAB01
Ericales_Lecythidaceae_Barringtonia_racemosa	GHLM01
Ericales_Lecythidaceae_Barringtonia_racemosa	LP207924
Ericales_Lecythidaceae_Couroupita_guianensis	GHLN01
Ericales_Lecythidaceae_Eschweilera_coriacea	GHLO01
Ericales_Lecythidaceae_Eschweilera_coriacea	GHLP01
Ericales_Lecythidaceae_Eschweilera_sagotiana	GHLD01
